符合條件商品
資料日期：2023年  8月  9日
策略,	基金財務輸出CSV
序號,	代碼,	商品,	成交,	漲幅%,	總量,	CLOSE,	C_MA20,	VOL,	VOL_MA10,	ROE4,	毛利率,	營益率,	利息倍數,	股本,	市值
執行時間：2023-08-09 19:11 符合檔數(1770)
60	,1410.TW,南染,40,0.63,75,40,38,75,100,2,17.6,-19.8,1472,6,25
61	,1413.TW,宏洲,8.78,-0.57,124,8.78,8.95,124,51.1,-11.8,-4.6,-8,7,13,9
62	,1414.TW,東和,17.75,0.85,204,17.75,17.61,204,171.3,2.2,6.4,-7.5,20,22,39
63	,1416.TW,廣豐,10.55,-0.94,275,10.55,10.81,275,183.8,-0.1,30.4,-5.5,11,19,20
64	,1417.TW,嘉裕,13.45,1.89,862,13.45,13.16,862,388.3,0.2,37,-3.6,-3,19,26
65	,1418.TW,東華,21.6,0.47,26,21.6,21.53,26,19.2,-7.5,30.4,-156.6,1,6,10
66	,1419.TW,新紡,44.05,0,10,44.05,44.21,10,81.6,3,28.2,10.3,63,30,132
67	,1423.TW,利華,23.7,0.21,38,23.7,23.73,38,59.1,3.8,-18.6,-42.6,1981,14,33
68	,1432.TW,大魯閣,17.9,1.7,318,17.9,17.41,318,414.7,7.3,42.5,7,0,9,16
69	,1434.TW,福懋,26,-0.57,472,26,26,472,1407.1,3.4,7.7,-0.2,18,168,438
70	,1436.TW,華友聯,63.2,-0.47,29,63.2,62.57,29,58.3,-5.3,44.2,-136.1,10,10,61
71	,1437.TW,勤益控,28.7,0.53,170,28.7,27.97,170,196.3,7,62,48.8,8,20,58
72	,1438.TW,三地開發,30.25,0.33,10,30.25,30.4,10,67.8,4.2,18.3,13,7,9,22
73	,1439.TW,雋揚,22.3,-0.22,7,22.3,22.42,7,31.4,7.9,26.7,5.8,15,9,21
74	,1440.TW,南紡,15.4,-0.96,513,15.4,15.53,513,809.5,-0.8,3.2,-5.5,8,166,255
75	,1441.TW,大東,7.87,-0.63,139,7.87,8.04,139,131.2,-33,-21.7,-36.4,-6,11,8
76	,1442.TW,名軒,34.2,-1.72,942,34.2,33.49,942,1935.1,9.9,47.7,36.9,103,37,125
77	,1443.TW,立益物流,28.55,0.88,17,28.55,28.6,17,42.6,8,49.8,34.2,3,14,39
78	,1444.TW,力麗,10.45,-0.48,1228,10.45,10.55,1228,1258.1,-3.4,-0.9,-7.1,10,100,104
