編號,地震時間,經度,緯度,深度,規模,震央位置
105047   ,2016/5/1 下午 01:25:00,121.83,24.23,12.6,4.5,花蓮縣政府東北方  34.4  公里 (位於臺灣東部海域)
105046   ,2016/5/1 上午 06:46:00,121.74,24.22,12.3,4.8,花蓮縣政府北偏東方  28.1  公里
105045   ,2016/4/29 上午 08:27:00,121.62,23.94,8.8,4,花蓮縣政府南方  6.0  公里 (位於花蓮縣近海)
105043   ,2016/4/28 上午 09:14:00,121.8,24.28,12.6,4.5,花蓮縣政府北偏東方  37.2  公里
105042   ,2016/4/28 上午 05:48:00,121.78,24.26,11.7,4.4,花蓮縣政府北偏東方  34.0  公里 (位於花蓮縣近海)
105041   ,2016/4/28 上午 05:15:00,121.74,24.24,11.7,4.3,花蓮縣政府北偏東方  30.0  公里 (位於花蓮縣近海)
105040   ,2016/4/28 上午 02:19:00,121.23,23.28,15.2,5.5,臺東縣政府北方  59.1  公里
105038   ,2016/4/28 上午 12:55:00,121.76,24.27,11.7,4.1,花蓮縣政府北偏東方  33.6  公里 (位於花蓮縣近海)
105036   ,2016/4/28 上午 12:33:00,121.77,24.27,11.8,4.4,花蓮縣政府北偏東方  34.1  公里 (位於花蓮縣近海)
105035   ,2016/4/28 上午 12:20:00,121.76,24.26,11.6,4,花蓮縣政府北偏東方  33.6  公里 (位於花蓮縣近海)
105033   ,2016/4/27 下午 11:32:00,121.77,24.26,13,4.1,花蓮縣政府北偏東方  33.7  公里 (位於花蓮縣近海)
105032   ,2016/4/27 下午 11:27:00,121.75,24.25,13,5.1,花蓮縣政府北偏東方  31.8  公里
105031   ,2016/4/27 下午 11:17:00,121.78,24.24,11.9,5.7,花蓮縣政府北偏東方  32.0  公里
小區域,2016/4/26 上午 09:45:00,121.59,23.98,7.6,4.2,花蓮縣政府西偏南方  3.4  公里 (位於花蓮縣花蓮市)
105030   ,2016/4/26 上午 04:51:00,121.58,23.98,8.6,4.2,花蓮縣政府西偏南方  3.9  公里 (位於花蓮縣吉安鄉)
105029   ,2016/4/25 下午 10:35:00,121.63,23.95,9.5,4.2,花蓮縣政府南偏東方  4.2  公里 (位於花蓮縣近海)
105028   ,2016/4/25 上午 10:58:00,121.02,23.17,6.1,4.2,臺東縣政府北偏西方  48.2  公里 (位於臺東縣海端鄉)
105027   ,2016/4/19 上午 04:30:00,120.32,23.18,17.7,4.4,臺南市政府東北方  25.2  公里 (位於臺南市官田區)
105026   ,2016/4/18 上午 07:12:00,121.01,23.16,3.6,4,臺東縣政府北偏西方  47.2  公里 (位於臺東縣海端鄉)
小區域,2016/4/15 下午 06:20:00,121.02,23.17,3.8,4,臺東縣政府北偏西方  48.1  公里 (位於臺東縣海端鄉)
105024   ,2016/4/12 上午 11:08:00,121.61,24.01,9.3,4.4,花蓮縣政府北偏西方  2.6  公里 (位於花蓮縣花蓮市)
