符合條件商品
資料日期：2023年 12月  1日
策略,	台股輸出
"序號","代碼","商品","成交","漲幅%","總量","總市值(億)","產業",細產業
107	,"1503.TW","士電","104.5","0.97","2066","544.4","上市電機機械",汽機車零組件,引擎相關,資產股,設備儀器廠商,電機,重型電氣設備,電氣零件與設備,變電設備,電氣開關設備,電氣自控設備,車用充電相關,配電盤,電力設備
108	,"1504.TW","東元","46.25","-0.96","8141","989.2","上市電機機械",資產股,小家電,電冰箱,洗衣機,冷氣機,家電,液晶電視,電機,重型電氣設備,配電工程,變頻器,自動化設備,機械,電力設備
109	,"1506.TW","正道","16.1","1.26","90","26.4","上市電機機械",汽機車零組件,車用鍛件,木床/車架,引擎相關,活塞,轉向系統,懸吊系統,車用金屬成型
110	,"1512.TW","瑞利","12.55","2.03","14","12.3","上市汽車",汽機車零組件,汽車鈑金,運動產業,運動用品
111	,"1513.TW","中興電","120.5","-0.82","18132","606.2","上市電機機械",其他公用事業,停車場,電機,重型電氣設備,輸配電設備,電氣開關設備,電氣自控設備,配電工程,空調製冷,機械,電力設備
112	,"1514.TW","亞力","67.4","-0.88","18957","166.4","上市電機機械",電機,電氣零件與設備,變電設備,配電工程,配電盤,電力設備
113	,"1515.TW","力山","58","0.17","1437","105.3","上市電機機械",健身器材,運動產業,木工機械,手工具機,機械
114	,"1516.TW","川飛","18.65","-1.58","74","7.2","上市其他",煤
115	,"1517.TW","利奇","15.8","0","155","35.6","上市電機機械",自行車零件,機械
116	,"1519.TW","華城","285","1.79","18240","744","上市電機機械",變電設備,配電盤,電力設備
117	,"1521.TW","大億","37.75","2.03","34","28.8","上市汽車",車燈,汽機車零組件
118	,"1522.TW","堤維西","40.85","3.03","5024","127.8","上市汽車",車燈,汽機車零組件
119	,"1524.TW","耿鼎","30.55","2.17","4176","50.5","上市汽車",汽機車零組件,汽車鈑金
120	,"1525.TW","江申","80.3","2.16","238","58.9","上市汽車",汽機車零組件,木床/車架,汽車鈑金,懸吊系統
121	,"1526.TW","日馳","34","0.44","34","20.4","上市電機機械",自行車零件,機械
122	,"1527.TW","鑽全","40.55","0","115","56.2","上市電機機械",手工具機,機械
123	,"1528.TW","恩德","11.95","4.37","2256","22.9","上市電機機械",流通業,家居相關用品通路,雷射鑽孔機、鑽頭,印刷電路板相關,工具機,木工機械,機械
124	,"1529.TW","樂事綠能","31.2","-1.73","1090","47","上市電機機械",電力公共事業,配電工程,配電盤,電力設備
125	,"1530.TW","亞崴","33.3","4.23","498","32.2","上市電機機械",工具機,龍門機,機械
126	,"1531.TW","高林股","13.65","0","76","25.1","上市電機機械",工業用縫紉機,機械
127	,"1532.TW","勤美","39.95","0.76","1727","150.3","上市電機機械",汽機車零組件,車用鑄件,引擎相關,傳動系統,剎車系統,車用金屬成型,資產股,機械零組件,機械,營建,地產
128	,"1533.TW","車王電","57.5","-0.35","719","56.7","上市汽車",車用電子,胎壓監測系統,行車紀錄器,倒車影像系統,手工具機,機械
129	,"1535.TW","中宇","55.8","0.36","30","69","上市電機機械",水資源,污水處理廠,其他營造工程,營造工程,工程顧問,環保工程
130	,"1536.TW","和大","64.8","1.09","796","181.1","上市汽車",汽機車零組件,傳動系統,機械零組件,機械
131	,"1537.TW","廣隆","133.5","0","153","109.5","上市電機機械",工業用電池,電力設備
132	,"1539.TW","巨庭","24.35","1.46","202","15.9","上市電機機械",木工機械,機械
133	,"1540.TW","喬福","17.75","1.72","445","15.2","上市電機機械",工具機,機械
134	,"1541.TW","錩泰","33.55","0.15","46","26.4","上市電機機械",木工機械,機械
135	,"1558.TW","伸興","107","0.94","143","71.2","上市電機機械",傳產其他,金屬加工/製品,家用縫紉機,機械
136	,"1560.TW","中砂","187","1.63","2802","269.5","上市電機機械",矽晶圓,IC製造,磨料磨具,機械
137	,"1565.TW","精華","191","0.26","67","96.3","上櫃生技醫療",隱形眼鏡,輔助與彌補用醫材
138	,"1568.TW","倉佑","36.45","8.32","10165","37.6","上市汽車",汽機車零組件,傳動系統,機械零組件,機械
139	,"1569.TW","濱川","22.85","-0.22","164","27.8","上櫃電腦及週邊設備",機殼,模具沖壓,電子零件元件
140	,"1570.TW","力肯","20","0","74","10.3","上櫃電機機械",手工具機,機械
141	,"1580.TW","新麥","155","1.31","196","77.8","上櫃電機機械",其他產業機械,機械
142	,"1582.TW","信錦","92.1","3.02","46905","114","上市電子零組件",樞紐,電子零件元件
143	,"1583.TW","程泰","66.5","0.45","16","73.4","上市電機機械",工具機,機械
144	,"1584.TW","精剛","35.8","1.56","3090","68.9","上櫃其他",合金鋼
145	,"1586.TW","和勤","32.4","0.47","162","28","上櫃電機機械",模具沖壓,電子零件元件
146	,"1587.TW","吉茂","22.75","1.79","105","15.6","上市汽車",汽機車零組件,車用冷卻系統
147	,"1589.TW","永冠-KY","51.1","0.59","188","60.4","上市電機機械",機械零組件,機械
148	,"1590.TW","亞德客-KY","1035","-4.61","830","2070","上市電機機械",機械零組件,機械
149	,"1591.TW","駿吉-KY","43.15","-1.93","3117","15","上櫃電機機械",螺絲、螺帽,線材、盤元
150	,"1593.TW","祺驊","54.1","0.37","16","21.5","上櫃運動休閒",健身器材,運動產業,工業馬達,機械
151	,"1595.TW","川寶","38.2","0.13","21","18.2","上櫃電子零組件",PCB其他設備,半導體設備,設備儀器廠商
152	,"1597.TW","直得","67","0.45","68","59.8","上市電機機械",軸承／滑軌,機械
153	,"1598.TW","岱宇","36.45","0.41","582","58.2","上市運動休閒",家居用品,傢俱,健身器材,運動產業
154	,"1599.TW","宏佳騰","35.55","-0.28","49","26.5","上櫃電機機械",電動機車,沙灘車,車輛整車
155	,"1603.TW","華電","37.6","0.53","1101","72.1","上市電器電纜",建材,金屬建材,電線電纜,電力電纜
156	,"1604.TW","聲寶","28.75","0.17","339","110.5","上市電器電纜",資產股,運輸事業,物流業,顯示器,小家電,電冰箱,冷氣機,家電,液晶電視
157	,"1605.TW","華新","38.3","-1.54","19123","1544","上市電器電纜",太陽能,太陽能系統運用,電線電纜,裸銅線,電力電纜,不鏽鋼
158	,"1608.TW","華榮","20.2","0.75","1806","127.8","上市電器電纜",電線電纜,裸銅線,電力電纜,非鐵金屬,銅
159	,"1609.TW","大亞","33.9","-0.44","4359","243.9","上市電器電纜",電線電纜,漆包線,裸銅線,電力電纜
160	,"1611.TW","中電","16.95","0.89","942","54.7","上市電器電纜",LED,LED照明產品,照明,家電
